group_id,group_name,category,max_price,min_price,last_updated
1,Colgate Dental Floss Total Mint Waxed 100m,dental_floss,4.99,4.99,2026-05-16
2,Colgate Total Tartar Control Durable Oral Care Dental Floss 25m,dental_floss,2.99,2.99,2026-05-16
3,Colgate Total Waxed Dental Floss 50m,dental_floss,2.99,2.99,2026-05-16
4,Oral B Essential Floss 2x50m,dental_floss,6.49,6.49,2026-05-16
5,Oral B Floss Waxed Mint 50m,dental_floss,3.49,3.49,2026-05-16
6,Oral B Glide Deep Clean Dental Floss 40m,dental_floss,5.49,5.49,2026-05-16
7,Libra,goodnight_pads,8.4,7.0,2026-05-16
8,Libra,goodnight_pads,4.62,3.08,2026-05-16
9,Stayfree All Night Sanitary Pads With Wings 10 Pack,goodnight_pads,5.89,2.99,2026-05-16
10,Stayfree Super Pads With Wings 12 Pack,goodnight_pads,4.0,4.0,2026-05-16
11,U By Kotex,goodnight_pads,4.46,3.82,2026-05-16
12,Overnight Long Wing 8 Pack,goodnight_pads,4.46,3.82,2026-05-16
13,Carefree Breathable Unscented Panty Liners 48 Pack,liners,6.99,3.5,2026-05-16
14,Libra Liner Dry Long 30 Pack,liners,2.97,2.47,2026-05-16
15,Libra Liner Extra Protect 50 Pack,liners,3.74,3.12,2026-05-16
16,Libra Liner Flexi Double Liner Thin 2 in 1 25 Pack,liners,2.97,2.47,2026-05-16
17,U by Kotex Designer Series Liners Protect 30 Pack,liners,2.94,2.52,2026-05-16
18,Dermal Therapy Lip Balm,lip_balm,6.49,4.89,2026-05-16
19,Dermal Therapy Overnight Lip Repair 10ml,lip_balm,11.99,8.99,2026-05-16
20,Kotex U Ultra Thin Wings Regular 14,regular_pads,4.39,3.82,2026-05-16
21,Libra Wings Regular 14,regular_pads,4.62,3.08,2026-05-16
22,Libra Ultra Thins Pads Wings Regular 20,regular_pads,6.3,5.25,2026-05-16
23,U By Kotex Ultrathin Regular Wing Bulk Pack 20,regular_pads,6.99,6.99,2026-05-16
24,U by Kotex Extra Pads Wing Regular 16 Pack,regular_pads,4.46,3.82,2026-05-16
25,Alpecin Caffeine Shampoo C1 250ml,shampoo,11.99,11.99,2026-05-16
26,Alpecin Caffeine Shampoo C1 375ml,shampoo,13.99,13.99,2026-05-16
27,Avene Cicalfate+ Restorative Protective Cream 100ml - Multi-purpose Repair cream,barrier_cream,25.69,25.69,2026-05-07
28,Bosistos Hand Wash Refill 1L,hand_wash,13.99,8.49,2026-05-16
29,Dettol Hand Wash Aloe Vera Refill 950mL Vitamin E Antibacterial Liquid,hand_wash,9.49,5.49,2026-05-16
30,Dettol Shower Cream Peach & Raspberry 950mL Profresh Body Wash,body_wash,6.99,6.99,2026-05-07
31,Enya Body Wash Vanilla Bean & Almond 1 Litre,body_wash,3.99,3.99,2026-05-07
32,La Roche Posay Cicaplast Baume B5+ 100ml,barrier_cream,36.99,36.99,2026-05-07
33,La Roche Posay Cicaplast Baume B5+ 40ml,barrier_cream,22.99,22.99,2026-05-07
34,Palmolive Hand Wash Refill,hand_wash,5.99,3.84,2026-05-16
36,Palmolive Naturals Body Wash,body_wash,6.49,6.49,2026-05-07
37,Libra Girl Pads Regular Wing 12 Pack,small_pads,4.62,3.08,2026-05-16
38,U by Kotex Ultra Thin Teen Regular Wing Pad 14 Pack,small_pads,4.39,3.79,2026-05-16
39,Colgate Zig Zag Deep Interdental Clean Toothbrush Medium Value 6 Pack,toothbrush,6.75,6.75,2026-05-16
40,Oral B Toothbrush Cross Action 7 Benefits 5 Pack,toothbrush,8.99,8.99,2026-05-16
41,Colgate Toothpaste Advanced Whitening Charcoal 180g,toothpaste,6.59,5.49,2026-05-16
42,Colgate Toothpaste Advanced Whitening Tartar 115g,toothpaste,6.49,6.49,2026-05-16
43,Colgate Toothpaste Cavity Protection Great Regular Value Pack 240g,toothpaste,4.39,3.99,2026-05-16
44,Colgate Toothpaste Optic White Purple 100g,toothpaste,4.99,4.99,2026-05-16
45,Colgate Toothpaste Sensitive ProRelief Enamel Repair 110g,toothpaste,7.69,5.49,2026-05-16
46,Colgate Toothpaste Total Active Prevention Mint Stripe 115g,toothpaste,3.99,3.99,2026-05-16
47,Colgate Toothpaste Triple Action 210g,toothpaste,4.39,3.99,2026-05-16
48,Oral B Toothpaste Gum Care & Intensive Clean 110g,toothpaste,4.99,4.99,2026-05-16
49,Sensodyne Toothpaste Daily Care + Whitening 160g Exclusive Size,toothpaste,12.99,7.69,2026-05-16
