group_id,group_name,category,product_id,vendor,product_name
1,Colgate Dental Floss Total Mint Waxed 100m,dental_floss,122602,chemist_warehouse,Colgate Dental Floss Total Mint Waxed 100m
2,Colgate Total Tartar Control Durable Oral Care Dental Floss 25m,dental_floss,44322,chemist_warehouse,Colgate Total Tartar Control Durable Oral Care Dental Floss 25m
3,Colgate Total Waxed Dental Floss 50m,dental_floss,65037,chemist_warehouse,Colgate Total Waxed Dental Floss 50m
4,Oral B Essential Floss 2x50m,dental_floss,84551,chemist_warehouse,Oral B Essential Floss 2x50m
5,Oral B Floss Waxed Mint 50m,dental_floss,53999,chemist_warehouse,Oral B Floss Waxed Mint 50m
6,Oral B Glide Deep Clean Dental Floss 40m,dental_floss,84550,chemist_warehouse,Oral B Glide Deep Clean Dental Floss 40m
7,Libra,goodnight_pads,74835,chemist_warehouse,Libra Goodnights Pads Ultra Thin 20
7,Libra,goodnight_pads,89413,chemist_warehouse,Libra Pad Extra Goodnight 20 Pack
8,Libra,goodnight_pads,157225,chemist_warehouse,Libra Pad Ultrathin Goodnight 10 Pack
8,Libra,goodnight_pads,44797,chemist_warehouse,Libra Pads Goodnights 10
9,Stayfree All Night Sanitary Pads With Wings 10 Pack,goodnight_pads,66115,chemist_warehouse,Stayfree All Night Sanitary Pads With Wings 10 Pack
10,Stayfree Super Pads With Wings 12 Pack,goodnight_pads,37871,chemist_warehouse,Stayfree Super Pads With Wings 12 Pack
11,U By Kotex,goodnight_pads,58869,chemist_warehouse,U by Kotex Ultrathin Overnight Regular with Wings Pads 10
11,U By Kotex,goodnight_pads,61260,chemist_warehouse,U by Kotex Extra Overnight Pads Wing 10 Pack
12,Overnight Long Wing 8 Pack,goodnight_pads,88177,chemist_warehouse,U by Kotex Ultra Thin Overnight Long Wing 8 Pack
12,Overnight Long Wing 8 Pack,goodnight_pads,88803,chemist_warehouse,U by Kotex Maxi Pad Overnight Long Wing 8 Pack
50,Blue Frog Granola Pic's Crunchy Peanut Butter,granola,7062811,coles,Blue Frog Granola Pic's Crunchy Peanut Butter
51,Blue Frog Probiotic Granola,granola,4310848,coles,Blue Frog Probiotic Granola Manuka Honey & Almond
51,Blue Frog Probiotic Granola,granola,5293507,coles,Blue Frog Probiotic Granola Triple Nut Crunch
52,Carman's Granola 450g,granola,3500327,coles,Carman's Almond Vanilla & Cinnamon Granola
52,Carman's Granola 450g,granola,3500382,coles,Carman's Pink Lady Apple & Blueberry Granola
52,Carman's Granola 450g,granola,4308631,coles,Carman's Granola Low Sugar Raspberry & Coconut
52,Carman's Granola 450g,granola,5297417,coles,Carman's Granola Protein Rich Almond & Hazelnut
52,Carman's Granola 450g,granola,143191,woolworths,Carman's Granola Raspberry & Coconut Low Sugar 450g
52,Carman's Granola 450g,granola,208900,woolworths,Carman's Granola Protein Rich Almond & Hazelnut 450g
53,Carman's Light and Crispy Granola 400g,granola,1132685,coles,Carman's Light & Crispy Granola Honey Nut
53,Carman's Light and Crispy Granola 400g,granola,1132812,coles,Carman's Light & Crispy Granola Raspberry & Vanilla
53,Carman's Light and Crispy Granola 400g,granola,6032680,woolworths,Carman's Light & Crispy Granola Raspberry & Vanilla 400g
53,Carman's Light and Crispy Granola 400g,granola,6032780,woolworths,Carman's Light & Crispy Granola Honey & Roasted Nut 400g
54,Carman's Low Sugar Granola Raspberry & Coconut 800g,granola,9013023,coles,Carman's Low Sugar Cereal Raspberry & Coconut Granola
54,Carman's Low Sugar Granola Raspberry & Coconut 800g,granola,6016152,woolworths,Carman's Low Sugar Granola Raspberry & Coconut 800g
55,Coles Finest Granola,granola,8953690,coles,Coles Finest Granola Honey Roasted Nut
55,Coles Finest Granola,granola,8956429,coles,Coles Finest Granola Pink Lady Apple & Caramel
55,Coles Finest Granola,granola,8957501,coles,Coles Finest Granola Grain Free Honey Almond & Coconut
56,Coles Nature's Kitchen Granola Cookie,granola,9467745,coles,Coles Nature's Kitchen Granola Cookie
57,Dorset Granola,granola,3779428,coles,Dorset Granola Berry
57,Dorset Granola,granola,3779450,coles,Dorset Granola Simply Nut
57,Dorset Granola,granola,85468,woolworths,Dorset Berry Granola 450g
57,Dorset Granola,granola,85470,woolworths,Dorset Nut Granola 450g
58,Farmer Jo Gluten Free Granola,granola,3758042,coles,Farmer Jo Gluten Free Paleo Granola
58,Farmer Jo Gluten Free Granola,granola,4308551,coles,Farmer Jo Gluten Free Keto Granola
58,Farmer Jo Gluten Free Granola,granola,8848867,coles,Farmer Jo Gluten Free Granola Nutty Chai & Coconut
58,Farmer Jo Gluten Free Granola,granola,8848889,coles,Farmer Jo Gluten Free Granola Caramel Almond Crunch
58,Farmer Jo Gluten Free Granola,granola,8849338,coles,Farmer Jo Gluten Free Granola Salted Maple Cashew
59,Farmer Jo Paleo Granola,granola,8146451,coles,Farmer Jo Paleo Cacao Granola
59,Farmer Jo Paleo Granola,granola,8153038,coles,Farmer Jo Paleo Granola
59,Farmer Jo Paleo Granola,granola,8153173,coles,Farmer Jo Paleo Cinnamon Granola
60,Food For Health Gluten Free Granola,granola,8962090,coles,Food For Health Gluten Free Granola Honey Roasted Nut
60,Food For Health Gluten Free Granola,granola,8962115,coles,Food For Health Gluten Free Granola Caramelised Apple Crumble
60,Food For Health Gluten Free Granola,granola,8962126,coles,Food For Health Gluten Free Granola Creamy Vanilla & Berries
60,Food For Health Gluten Free Granola,granola,8962137,coles,Food For Health Gluten Free Granola Maple Almond & Vanilla
61,Freedom Granola,granola,7083221,coles,Freedom Crafted Blends Blueberry Granola
61,Freedom Granola,granola,7083243,coles,Freedom Crafted Blends Maple & Almond Granola
61,Freedom Granola,granola,420783,woolworths,Freedom Honey Nut Granola 400g
61,Freedom Granola,granola,435816,woolworths,Freedom Maple & Almond Granola 400g
61,Freedom Granola,granola,440154,woolworths,Freedom Crafted Blends Blueberry Granola 400g
62,Heritage Mill Light & Crispy Granola Vanilla Crumble,granola,1135311,coles,Heritage Mill Light & Crispy Granola Vanilla Crumble
63,Irrewarra Granola,granola,3281041,coles,Irrewarra All Natural Granola Original
63,Irrewarra Granola,granola,3281063,coles,Irrewarra Fruit Free Granola
63,Irrewarra Granola,granola,3590104,coles,Irrewarra More Nuts And Honey Granola
63,Irrewarra Granola,granola,304776,woolworths,Irrewarra All Natural Granola Original 500G
64,Jordan's Crunchy Oat Granola,granola,1750254,coles,Jordans Crunchy Oat Granola With Berries Cereal
64,Jordan's Crunchy Oat Granola,granola,2499255,coles,Jordans Simply Crunchy Oat Granola
64,Jordan's Crunchy Oat Granola,granola,609556,woolworths,Jordans Simply Crunchy Oat Granola Honey 750g
64,Jordan's Crunchy Oat Granola,granola,790810,woolworths,Jordans Bursting With Berries Crunchy Oat Granola 500g
65,Jordans Low Sugar Granola,granola,3215105,coles,Jordans Low Sugar Granola Almond And Hazelnut
65,Jordans Low Sugar Granola,granola,3779381,coles,Jordans Low Sugar Granola Blueberry & Coconut
65,Jordans Low Sugar Granola,granola,207593,woolworths,Jordans Low Sugar Granola Strawberry & Seeds 500g
