product_id,vendor,max_price,min_price,last_updated
102274,chemist_warehouse,12.99,7.69,2026-05-16
103528,chemist_warehouse,5.99,4.89,2026-05-16
107630,chemist_warehouse,4.99,4.99,2026-05-16
112554,chemist_warehouse,4.39,3.99,2026-05-16
112555,chemist_warehouse,4.39,3.99,2026-05-16
115454,chemist_warehouse,13.99,8.49,2026-05-16
115455,chemist_warehouse,13.99,8.49,2026-05-16
116028,chemist_warehouse,6.49,6.49,2026-05-16
116030,chemist_warehouse,6.59,5.49,2026-05-16
116565,chemist_warehouse,6.49,4.89,2026-05-16
119222,chemist_warehouse,2.97,2.47,2026-05-16
119223,chemist_warehouse,3.74,3.12,2026-05-16
122041,chemist_warehouse,22.99,22.99,2026-05-07
122042,chemist_warehouse,36.99,36.99,2026-05-07
122563,chemist_warehouse,2.97,2.47,2026-05-16
122602,chemist_warehouse,4.99,4.99,2026-05-16
122727,chemist_warehouse,6.49,4.89,2026-05-16
130577,chemist_warehouse,11.99,8.99,2026-05-16
137393,chemist_warehouse,4.99,4.99,2026-05-16
141193,chemist_warehouse,6.99,6.99,2026-05-16
151216,chemist_warehouse,8.99,8.99,2026-05-16
152925,chemist_warehouse,5.99,4.99,2026-05-16
157225,chemist_warehouse,4.62,3.08,2026-05-16
165328,chemist_warehouse,4.39,3.79,2026-05-16
31497,chemist_warehouse,4.62,3.08,2026-05-16
35507,chemist_warehouse,4.62,3.08,2026-05-16
37871,chemist_warehouse,4.0,4.0,2026-05-16
44322,chemist_warehouse,2.99,2.99,2026-05-16
44564,chemist_warehouse,4.39,3.82,2026-05-16
44797,chemist_warehouse,4.62,3.08,2026-05-16
53999,chemist_warehouse,3.49,3.49,2026-05-16
58869,chemist_warehouse,4.46,3.82,2026-05-16
61258,chemist_warehouse,4.46,3.82,2026-05-16
61260,chemist_warehouse,4.46,3.82,2026-05-16
63253,chemist_warehouse,6.49,6.49,2026-05-07
63255,chemist_warehouse,6.49,6.49,2026-05-07
64484,chemist_warehouse,6.49,6.49,2026-05-07
